"flat";"down";"up"
"將呈";0.5;0.25;0.25
"將待";0.428571428571429;0.285714285714286;0.285714285714286
"將繼";0.5;0.25;0.25
"將球";0.428571428571429;0.285714285714286;0.285714285714286
"將是";0.25;0.125;0.625
"將台";0.416666666666667;0.333333333333333;0.25
"將以";0.4;0.2;0.4
"將有";0.363636363636364;0.454545454545455;0.181818181818182
"將在";0.307692307692308;0.461538461538462;0.230769230769231
"交叉";0.428571428571429;0.285714285714286;0.285714285714286
"交期";0.3;0.5;0.2
"接班";0.428571428571429;0.285714285714286;0.285714285714286
"接班人";0.428571428571429;0.285714285714286;0.285714285714286
"接續";0.5;0.25;0.25
"揭曉";0.5;0.25;0.25
"結算";0.2;0.4;0.4
"解決方案";0.428571428571429;0.285714285714286;0.285714285714286
"解盲";0.5;0.25;0.25
"解析度";0.5;0.25;0.25
"介紹";0.5;0.25;0.25
"今摩台";0.5;0.25;0.25
"今日";0.375;0.3125;0.3125
"今天";0.235294117647059;0.352941176470588;0.411764705882353
"今早";0.133333333333333;0.433333333333333;0.433333333333333
"金額";0.272727272727273;0.454545454545455;0.272727272727273
"金管會";0.333333333333333;0.166666666666667;0.5
"金融股";0.272727272727273;0.181818181818182;0.545454545454545
"僅聯";0.375;0.375;0.25
"僅台";0.375;0.25;0.375
"京元電";0.5;0.25;0.25
"晶片";0.366666666666667;0.333333333333333;0.3
"晶圓";0.2;0.466666666666667;0.333333333333333
"經濟";0.454545454545455;0.227272727272727;0.318181818181818
"景氣";0.178571428571429;0.392857142857143;0.428571428571429
"就業";0.25;0.5;0.25
"劇烈";0.375;0.375;0.25
"據統計";0.428571428571429;0.285714285714286;0.285714285714286
"捐出";0.428571428571429;0.285714285714286;0.285714285714286
"決定";0.428571428571429;0.285714285714286;0.285714285714286
"均豪";0.428571428571429;0.285714285714286;0.285714285714286
"均華";0.428571428571429;0.285714285714286;0.285714285714286
"卡位";0.384615384615385;0.230769230769231;0.384615384615385
"開出";0.25;0.3125;0.4375
"開盤";0.333333333333333;0.166666666666667;0.5
"凱基";0.285714285714286;0.571428571428571;0.142857142857143
"看好";0.25;0.416666666666667;0.333333333333333
"可成";0.4;0.3;0.3
"可達";0.4;0.4;0.2
"可選台";0.5;0.25;0.25
"可轉債";0.428571428571429;0.285714285714286;0.285714285714286
"客戶";0.178571428571429;0.5;0.321428571428571
"控管";0.4;0.3;0.3
"叩關";0.307692307692308;0.230769230769231;0.461538461538462
"庫存";0.210526315789474;0.210526315789474;0.578947368421053
"寬度";0.428571428571429;0.285714285714286;0.285714285714286
"寬鬆";0.434782608695652;0.478260869565217;0.0869565217391304
"困案";0.428571428571429;0.285714285714286;0.285714285714286
"拉動";0.5;0.25;0.25
"來到";0.148514851485149;0.455445544554455;0.396039603960396
"來看";0.291666666666667;0.333333333333333;0.375
"來期";0.5;0.25;0.25
"來自";0.333333333333333;0.166666666666667;0.5
"冷凍";0.5;0.25;0.25
"禮物";0.428571428571429;0.285714285714286;0.285714285714286
"力駁";0.5;0.25;0.25
"力守";0.2;0.45;0.35
"立法院";0.5;0.25;0.25
"歷年";0.5;0.25;0.25
"聯電";0.235294117647059;0.235294117647059;0.529411764705882
"聯發科";0.25;0.333333333333333;0.416666666666667
"聯網";0.1875;0.4375;0.375
"兩大";0.333333333333333;0.208333333333333;0.458333333333333
"兩天";0.2;0.333333333333333;0.466666666666667
"兩月營";0.428571428571429;0.285714285714286;0.285714285714286
"量產";0.5;0.25;0.25
"列車";0.333333333333333;0.333333333333333;0.333333333333333
"流動性";0.5;0.25;0.25
"龍頭";0.4;0.4;0.2
"陸續";0.5;0.25;0.25
"亂流";0.428571428571429;0.285714285714286;0.285714285714286
"呂穎彰";0.5;0.25;0.25
"買進";0.375;0.375;0.25
"賣壓";0.363636363636364;0.363636363636364;0.272727272727273
"沒有";0.4;0.3;0.3
"媒體";0.4;0.2;0.4
"每股";0.214285714285714;0.5;0.285714285714286
"每位";0.428571428571429;0.285714285714286;0.285714285714286
"美股";0.173913043478261;0.347826086956522;0.478260869565217
"美國";0.263157894736842;0.631578947368421;0.105263157894737
"民進黨";0.428571428571429;0.285714285714286;0.285714285714286
"名衝";0.5;0.25;0.25
"名單";0.333333333333333;0.333333333333333;0.333333333333333
"摩台期";0.4;0.2;0.4
"拿下";0.5;0.25;0.25
"那斯";0.6;0.2;0.2
"奈米";0.135135135135135;0.594594594594595;0.27027027027027
"南僑";0.5;0.25;0.25
