"flat";"down";"up"
"110.15";2;3;2
"110.41";2;3;2
"110.76";2;3;2
"111";2;3;2
"111.03";2;3;2
"112.76";2;3;2
"113.28";2;4;2
"114";2;3;2
"114.09";2;4;2
"115.40";2;4;2
"117.31";2;4;2
"1183";2;3;2
"12.6";2;4;2
"120";2;8;7
"1205";2;3;2
"121";2;3;4
"1216";2;4;2
"122.04";2;4;2
"122.21";2;3;2
"122578";2;4;2
"126";2;4;2
"13.23";2;4;2
"13.3";2;4;2
"13.5";2;3;2
"130";2;6;10
"130.6";2;3;2
"132";2;4;2
"134121";2;3;2
"135";2;3;2
"1360";2;3;2
"138";2;4;4
"139";2;3;4
"14.04";2;3;2
"14.2";2;5;2
"14.7";2;3;2
"14.85";2;4;2
"14.95";2;4;2
"140";2;4;10
"142.5";2;4;4
"144";2;4;2
"144.85";2;6;2
"144.91";2;4;2
"145";2;3;8
"145.5";2;4;2
"146.5";2;4;2
"147";2;4;4
"15.0";2;4;2
"15.7";2;5;2
"15.87";2;4;2
"152";2;4;3
"15297";2;4;2
"155";2;5;2
"155.1";2;3;2
"157";2;8;4
"159";2;3;2
"16.34";2;4;2
"162";2;3;2
"169";2;3;2
"17.2";2;3;3
"17.7";2;3;2
"17.71";2;3;2
"172";2;6;2
"172.22";2;4;2
"172.5";2;3;2
"173";2;4;2
"174.64";2;4;2
"1752";2;3;2
"1780";2;3;2
"179";2;3;2
"180.4";2;3;2
"1895";2;4;2
"190";2;3;2
"195";2;4;2
"2.";2;5;4
"2.18";2;4;2
"2.2";2;3;2
"2.28";2;4;2
"2.3";2;4;3
"2.37";2;4;2
"2.38";2;3;2
"2.4";2;4;3
"2.7";2;4;4
"2.72";2;3;2
"2.8";2;3;2
"2.86";2;3;2
"20.1";2;3;2
"2008";2;5;3
"2009";2;3;3
"201";2;4;2
"2017";2;3;2
"2025";2;4;2
"205";2;3;2
"207";2;4;2
"21";2;12;8
"21.1";2;3;2
"2100";2;4;2
"213";2;6;2
"214";2;4;2
"214.82";2;3;2
"215";2;4;2
"216.50";2;3;2
"217";2;3;2
"22.45";2;4;2
"22.82";2;4;2
"22.96";2;3;2
"220";2;4;2
"2210";2;4;6
"2220.3";2;4;6
"2225.21";2;4;4
"223";2;3;5
"2240";2;4;6
"225.48";2;4;2
"2260";2;4;2
"227";2;3;2
"228";2;4;5
"23.6";2;3;2
"2301";2;3;2
"2308";2;7;2
"2324";2;4;2
"2325";2;7;13
"2353";2;4;2
